
---------- Begin Simulation Statistics ----------
sim_seconds                               2420.308666                       # Number of seconds simulated
sim_ticks                                2420308666254500                       # Number of ticks simulated
final_tick                               2420308666254500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_seconds                                 19821.98                       # Real time elapsed on the host
host_tick_rate                           122102258792                       # Simulator tick rate (ticks/s)
host_mem_usage                                5239508                       # Number of bytes of host memory used
sim_insts                                  2173586170                       # Number of instructions simulated
sim_ops                                    5419977219                       # Number of ops (including micro ops) simulated
host_inst_rate                                 109655                       # Simulator instruction rate (inst/s)
host_op_rate                                   273433                       # Simulator op (including micro ops) rate (op/s)
system.apicbridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.bridge.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.clk_domain.clock                          1000                       # Clock period in ticks
system.cpu.numCycles                       8802861504                       # Number of cpu cycles simulated
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed
system.cpu.instsAdded                      5608787055                       # Number of instructions added to the IQ (excludes non-spec)
system.cpu.nonSpecInstsAdded                 23740353                       # Number of non-speculative instructions added to the IQ
system.cpu.instsIssued                     5586039569                       # Number of instructions issued
system.cpu.squashedInstsIssued                2413877                       # Number of squashed instructions issued
system.cpu.squashedInstsExamined            212550159                       # Number of squashed instructions iterated over during squash; mainly for profiling
system.cpu.squashedOperandsExamined         182134729                       # Number of squashed operands that are examined and possibly removed from graph
system.cpu.squashedNonSpecRemoved             7726137                       # Number of squashed non-spec instructions that were removed
system.cpu.numIssuedDist::samples          4163851102                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               1.341556                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.995950                       # Number of insts issued each cycle
system.mem_ctrls0.dram.perBankWrBursts::12      1135394                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::13       938563                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::14       235423                       # Per bank write bursts
system.mem_ctrls0.dram.perBankWrBursts::15       477006                       # Per bank write bursts
system.mem_ctrls0.dram.totQLat           682093885475                       # Total ticks spent queuing
system.mem_ctrls0.dram.totBusLat         234393040000                       # Total ticks spent in databus transfers
system.mem_ctrls0.dram.totMemAccLat      1561067785475                       # Total ticks spent from burst creation until serviced by the DRAM
system.mem_ctrls0.dram.avgQLat               14550.22                       # Average queueing delay per DRAM burst
system.mem_ctrls0.dram.avgBusLat              5000.00                       # Average bus latency per DRAM burst
system.mem_ctrls0.dram.avgMemAccLat          33300.22                       # Average memory access latency per DRAM burst
system.mem_ctrls0.dram.readRowHits           33193434                       # Number of row buffer hits during reads
system.mem_ctrls0.dram.writeRowHits          51322958                       # Number of row buffer hits during writes
system.mem_ctrls0.dram.readRowHitRate           70.81                       # Row buffer hit rate for reads
system.mem_ctrls0.dram.writeRowHitRate          77.62                       # Row buffer hit rate for writes
system.mem_ctrls0.dram.bytesPerActivate::samples     28485921                       # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::mean   253.884945                       # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::gmean   178.925615                       # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::stdev   233.773494                       # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::0-127      7224121     25.36%     25.36% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::128-255     10307976     36.19%     61.55% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::256-383      4572981     16.05%     77.60% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::384-511      2000423      7.02%     84.62% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::512-639      1528855      5.37%     89.99% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::640-767      1050198      3.69%     93.68% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::768-895       715522      2.51%     96.19% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::896-1023       265246      0.93%     97.12% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::1024-1151       820599      2.88%    100.00% # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesPerActivate::total     28485921                       # Bytes accessed per row activation
system.mem_ctrls0.dram.bytesRead           3000230912                       # Total number of bytes read from DRAM
system.mem_ctrls0.dram.bytesWritten        4231917696                       # Total number of bytes written to DRAM
system.mem_ctrls0.dram.avgRdBW               1.239607                       # Average DRAM read bandwidth in MiBytes/s
system.mem_ctrls0.dram.avgWrBW               1.748503                       # Average DRAM write bandwidth in MiBytes/s
system.mem_ctrls0.dram.peakBW                12800.00                       # Theoretical peak bandwidth in MiByte/s
system.mem_ctrls0.dram.busUtil                   0.02                       # Data bus utilization in percentage
system.mem_ctrls0.dram.busUtilRead               0.01                       # Data bus utilization in percentage for reads
system.mem_ctrls0.dram.busUtilWrite              0.01                       # Data bus utilization in percentage for writes
system.mem_ctrls0.dram.pageHitRate              74.79                       # Row buffer hit rate, read and write combined
system.mem_ctrls0.dram.power_state.pwrStateResidencyTicks::UNDEFINED 2420308666254500                       # Cumulative time (in ticks) in various power states
system.mem_ctrls0.dram.rank0.actEnergy   133323070860                       # Energy for activate commands per rank (pJ)
system.mem_ctrls0.dram.rank0.preEnergy    70862877525                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls0.dram.rank0.readEnergy  177859906140                       # Energy for read commands per rank (pJ)
system.mem_ctrls0.dram.rank0.writeEnergy 207444496500                       # Energy for write commands per rank (pJ)
system.mem_ctrls0.dram.rank0.refreshEnergy 191057121740160.031250                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls0.dram.rank0.actBackEnergy 37585291695660                       # Energy for active background per rank (pJ)
system.mem_ctrls0.dram.rank0.preBackEnergy 897747755887680                       # Energy for precharge background per rank (pJ)
system.mem_ctrls0.dram.rank0.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ)
system.mem_ctrls0.dram.rank0.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ)
system.mem_ctrls0.dram.rank0.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ)
system.mem_ctrls0.dram.rank0.totalEnergy 1126979659674525                       # Total energy per rank (pJ)
system.mem_ctrls0.dram.rank0.averagePower   465.634683                       # Core power per rank (mW)
system.mem_ctrls0.dram.rank0.totalIdleTime            0                       # Total Idle time Per DRAM Rank
system.mem_ctrls0.dram.rank0.pwrStateTime::IDLE 2333593956502016                       # Time in different power states
system.mem_ctrls0.dram.rank0.pwrStateTime::REF 80819425440000                       # Time in different power states
system.mem_ctrls0.dram.rank0.pwrStateTime::SREF            0                       # Time in different power states
system.mem_ctrls0.dram.rank0.pwrStateTime::PRE_PDN            0                       # Time in different power states
system.mem_ctrls0.dram.rank0.pwrStateTime::ACT 5895284312484                       # Time in different power states
system.mem_ctrls0.dram.rank0.pwrStateTime::ACT_PDN            0                       # Time in different power states
system.mem_ctrls0.dram.rank1.actEnergy    70066469340                       # Energy for activate commands per rank (pJ)
system.mem_ctrls0.dram.rank1.preEnergy    37241192670                       # Energy for precharge commands per rank (pJ)
system.mem_ctrls0.dram.rank1.readEnergy  156853354980                       # Energy for read commands per rank (pJ)
system.mem_ctrls0.dram.rank1.writeEnergy 137721290580                       # Energy for write commands per rank (pJ)
system.mem_ctrls0.dram.rank1.refreshEnergy 191057121740160.031250                       # Energy for refresh commands per rank (pJ)
system.mem_ctrls0.dram.rank1.actBackEnergy 37453176807240                       # Energy for active background per rank (pJ)
system.mem_ctrls0.dram.rank1.preBackEnergy 897859010530560                       # Energy for precharge background per rank (pJ)
system.mem_ctrls0.dram.rank1.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ)
system.mem_ctrls0.dram.rank1.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ)
system.mem_ctrls0.dram.rank1.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ)
system.mem_ctrls0.dram.rank1.totalEnergy 1126771191385530                       # Total energy per rank (pJ)
system.mem_ctrls0.dram.rank1.averagePower   465.548551                       # Core power per rank (mW)
system.mem_ctrls0.dram.rank1.totalIdleTime            0                       # Total Idle time Per DRAM Rank
system.mem_ctrls0.dram.rank1.pwrStateTime::IDLE 2333884123415262                       # Time in different power states
system.mem_ctrls0.dram.rank1.pwrStateTime::REF 80819425440000                       # Time in different power states
